DBCODE,ENTITY,YEAR,DATE,STREAM,SITE,SITE_CODE,TRANSECT,REACH_SECTION,WETTED_WIDTH,DEPTH_1,DEPTH_2,DEPTH_3,DEPTH_4,DEPTH_5,MAX_DEPTH,REACH_LENGTH,NOTES
AS011,2,2017,2017-08-01,"McRae","MCRAE_HW_BELOW_ EOF","R963",0,M,660,14.0,12.0,3.0,12.0,31.0,38.0,69,""
AS011,2,2017,2017-08-01,"McRae","MCRAE_HW_BELOW_ EOF","R963",5,M,530,6.0,8.0,30.0,6.0,1.0,30.0,69,"debris jam"
AS011,2,2017,2017-08-01,"McRae","MCRAE_HW_BELOW_ EOF","R963",10,M,230,15.0,21.0,17.0,20.0,15.0,22.0,69,""
AS011,2,2017,2017-08-01,"McRae","MCRAE_HW_BELOW_ EOF","R963",15,M,250,6.0,25.0,11.0,12.0,15.0,27.0,69,""
AS011,2,2017,2017-08-01,"McRae","MCRAE_HW_BELOW_ EOF","R963",20,M,320,3.0,15.0,14.0,9.0,12.0,24.0,69,""
AS011,2,2017,2017-08-01,"McRae","MCRAE_HW_BELOW_ EOF","R963",25,M,440,7.0,1.0,9.0,1.0,2.0,9.0,69,""
AS011,2,2017,2017-08-01,"McRae","MCRAE_HW_BELOW_ EOF","R963",30,M,390,19.0,20.0,13.0,7.0,8.0,20.0,69,""
AS011,2,2017,2017-08-01,"McRae","MCRAE_HW_BELOW_ EOF","R963",35,M,240,3.0,4.0,0.5,4.0,1.0,4.0,69,""
AS011,2,2017,2017-08-01,"McRae","MCRAE_HW_BELOW_ EOF","R963",40,M,220,9.0,2.0,1.0,1.0,1.0,9.0,69,""
AS011,2,2017,2017-08-01,"McRae","MCRAE_HW_BELOW_ EOF","R963",45,M,450,5.0,15.0,10.0,4.0,1.0,20.0,69,""
AS011,2,2017,2017-08-01,"McRae","MCRAE_HW_BELOW_ EOF","R963",50,M,290,3.0,13.0,15.0,8.0,4.0,15.0,69,""
AS011,2,2017,2017-08-01,"McRae","MCRAE_HW_BELOW_ EOF","R963",55,M,460,12.0,20.0,12.0,5.0,19.0,20.0,69,""
AS011,2,2017,2017-08-01,"McRae","MCRAE_HW_BELOW_ EOF","R963",60,M,550,13.0,15.0,31.0,9.0,10.0,52.0,69,""
AS011,2,2017,2017-08-01,"McRae","MCRAE_HW_BELOW_ EOF","R963",65,M,340,8.0,8.0,3.0,10.0,1.0,10.0,69,""
AS011,2,2017,2017-08-01,"McRae","MCRAE_HW_BELOW_ EOF","R963",69,M,510,3.0,17.0,4.0,6.0,8.0,25.0,69,""
AS011,2,2017,2017-08-02,"McRae","MCRAE_HW_ABOVE_EOF","R981",0,M,580,10.0,22.0,21.0,10.0,6.0,27.0,63,""
AS011,2,2017,2017-08-02,"McRae","MCRAE_HW_ABOVE_EOF","R981",5,M,130,7.0,18.0,21.0,12.0,3.0,23.0,63,""
AS011,2,2017,2017-08-02,"McRae","MCRAE_HW_ABOVE_EOF","R981",10,M,50,3.0,4.0,2.0,5.0,1.0,5.0,63,""
AS011,2,2017,2017-08-02,"McRae","MCRAE_HW_ABOVE_EOF","R981",15,M,560,24.0,17.0,13.0,3.0,7.0,24.0,63,""
AS011,2,2017,2017-08-02,"McRae","MCRAE_HW_ABOVE_EOF","R981",20,M,770,1.0,3.0,6.0,16.0,11.0,20.0,63,""
AS011,2,2017,2017-08-02,"McRae","MCRAE_HW_ABOVE_EOF","R981",25,M,890,5.0,13.0,79.0,26.0,9.0,81.0,63,""
AS011,2,2017,2017-08-02,"McRae","MCRAE_HW_ABOVE_EOF","R981",30,M,230,1.0,11.0,14.0,10.0,3.0,14.0,63,""
AS011,2,2017,2017-08-02,"McRae","MCRAE_HW_ABOVE_EOF","R981",35,M,260,3.0,2.0,3.0,21.0,2.0,21.0,63,""
AS011,2,2017,2017-08-02,"McRae","MCRAE_HW_ABOVE_EOF","R981",40,M,110,27.0,34.0,7.0,1.0,3.0,34.0,63,""
AS011,2,2017,2017-08-02,"McRae","MCRAE_HW_ABOVE_EOF","R981",45,M,380,13.0,10.0,10.0,4.0,13.0,32.0,63,""
AS011,2,2017,2017-08-02,"McRae","MCRAE_HW_ABOVE_EOF","R981",50,M,200,7.0,4.0,2.0,3.0,1.0,7.0,63,""
AS011,2,2017,2017-08-02,"McRae","MCRAE_HW_ABOVE_EOF","R981",55,M,320,3.0,30.0,23.0,22.0,25.0,31.0,63,""
AS011,2,2017,2017-08-02,"McRae","MCRAE_HW_ABOVE_EOF","R981",60,M,260,4.0,14.0,13.0,9.0,3.0,14.0,63,""
AS011,2,2017,2017-08-02,"McRae","MCRAE_HW_ABOVE_EOF","R981",63,M,350,11.0,15.0,11.0,12.0,5.0,17.0,63,""
AS011,2,2017,2017-08-08,"McRae","MCRAE_STREON","R834",0,M,300,21.0,21.0,14.0,10.0,16.0,28.0,66,""
AS011,2,2017,2017-08-08,"McRae","MCRAE_STREON","R834",5,M,390,10.0,26.0,31.0,22.0,8.0,32.0,66,""
AS011,2,2017,2017-08-08,"McRae","MCRAE_STREON","R834",10,M,410,14.0,19.0,27.0,8.0,4.0,31.0,66,""
AS011,2,2017,2017-08-08,"McRae","MCRAE_STREON","R834",15,M,320,4.0,11.0,8.0,18.0,9.0,25.0,66,""
AS011,2,2017,2017-08-08,"McRae","MCRAE_STREON","R834",20,M,380,9.0,7.0,14.0,4.0,7.0,15.0,66,""
AS011,2,2017,2017-08-08,"McRae","MCRAE_STREON","R834",25,M,360,2.0,10.0,15.0,8.0,4.0,23.0,66,""
AS011,2,2017,2017-08-08,"McRae","MCRAE_STREON","R834",30,M,420,13.0,20.0,20.0,37.0,35.0,42.0,66,"pool"
